Index,Company name,Rating,Company type,Sector,Old,Company location,Employees,Reviews
427,Crowne Plaza,4.2, Public ,Hospitality , 40 years old , Atlanta +28 more, 501-1k Employees ,530 Reviews
428,Shilpa Medicare,3.6, Public ,Pharma , 36 years old , Raichur +25 more, 1k-5k Employees ,527 Reviews
429,Bharti Infratel,4.5, Public ,Telecom , 17 years old , Gurgaon/Gurugram +65 more, 1k-5k Employees ,526 Reviews
430,NoBrokerHOOD,3.5, Startup ,Software Product ,5 years, Bengaluru/Bangalore +23 more, 501-1k Employees ,524 Reviews
431,Transsion,4.3, Public ,Hardware & Networking , 17 years old , Shenzhen +53 more, 501-1k Employees ,522 Reviews
432,Ivrcl Infrastructures & Projects,4.2, Public ,Engineering & Construction , 36 years old , Hyderabad/Secunderabad +53 more, 1k-5k Employees ,521 Reviews
433,Jaya Hind Industries,3.6, Public ,Auto Components , 76 years old , Pune +16 more, 1k-5k Employees ,520 Reviews
434,CNH Industrial,4.2, Public ,Automobile , 10 years old , London +45 more, 1k-5k Employees ,519 Reviews
435,Rallis India,4.3, Public ,Agro Chemicals , 75 years old , Mumbai +80 more, 1k-5k Employees ,517 Reviews
436,HomeLane,3.5, Startup ,Architecture & Interior Design , 9 years old , Bangalore +28 more, 501-1k Employees ,517 Reviews
437,City Union Bank,3.4, Public ,Banking , 119 years old , Thanjavur +100 more, 5k-10k Employees ,515 Reviews
438,Electrosteel Steels,4.2, Public ,Iron & Steel , 17 years old , Jharkhand +15 more, 501-1k Employees ,515 Reviews
439,CreditAccess Grameen,4.2, Public ,Financial Services , 24 years old , Bangalore/Bengaluru +148 more, 10k-50k Employees ,514 Reviews
440,EMERSON PROCESS MANAGEMENT,3.9, Public ,Industrial Machinery , 133 years old , St. Louis +26 more, 1k-5k Employees ,513 Reviews
441,Redington,4, Public ,Hardware & Networking , 24 years old , Dubai +45 more, 1k-5k Employees ,511 Reviews
442,Salesforce,4.2, Public ,Software Product , 24 years old , San Francisco +24 more, 1k-5k Employees ,509 Reviews
443,Religare,3.7, Public ,Financial Services , 39 years old , New Delhi +91 more, 1k-5k Employees ,508 Reviews
444,TCNS Clothing Company,4, Public ,Fashion & Textile , 22 years old , Delhi/NCR +85 more, 501-1k Employees ,507 Reviews
445,Eris Lifesciences,3.8, Public ,Pharma , 16 years old , Ahmedabad +68 more, 1k-5k Employees ,507 Reviews
446,Ebix Software India,3.3, Public ,IT Services & Consulting , 47 years old , Atlanta +29 more, 1k-5k Employees ,506 Reviews
447,McDermott International,4.2, Public ,Oil & Gas , 100 years old , Houston +26 more, 1k-5k Employees ,504 Reviews
448,Finolex Cables,3.8, Public ,Electrical Equipment , 67 years old , Pune +58 more, 1k-5k Employees ,503 Reviews
449,Apollo Munich Health Insurance,3.9, Public ,Financial Services , 16 years old , Gurgaon +109 more, 1k-5k Employees ,501 Reviews
450,Sharda Motor Industries,3.9, Public ,Auto Components , 37 years old , Delhi/NCR +24 more, 1k-5k Employees ,498 Reviews
451,Adani Enterprises,3.9, Public ,Financial Services , 35 years old , Mumbai +45 more, 1k-5k Employees ,496 Reviews
452,Jain Irrigation Systems,4.1, Public ,Accounting & Auditing , 60 years old , Jalgaon +74 more, 51-200 Employees ,496 Reviews
453,Gayatri Projects,3.9, Public ,Engineering & Construction , 60 years old , Hyderabad/Secunderabad +66 more, 1k-5k Employees ,493 Reviews
454,Mastek,3.7, Public ,IT Services & Consulting , 41 years old , Mumbai +15 more, 1k-5k Employees ,491 Reviews
455,Sintex Industries,4.2, Public ,Industrial Machinery , 92 years old , Kalol +53 more, 5k-10k Employees ,490 Reviews
456,Jabil Circuit India,3.9, Public ,Electronics Manufacturing , 57 years old , St Petersburg +9 more, 1k-5k Employees ,490 Reviews
457,Piramal Pharma,3.9, Public ,Pharma , 35 years old , Lexington +36 more, 1k-5k Employees ,490 Reviews
458,Royal Caribbean International,4.6, Public ,Sports & Recreation , 54 years old , Miami +14 more, 501-1k Employees ,489 Reviews
459,Ramco Systems,3.4, Public ,Software Product , 26 years old , Chennai +16 more, 1k-5k Employees ,488 Reviews
460,United Spirits,4.1, Public ,Beverage , 26 years old , Bangalore/Bengaluru +90 more, 1k-5k Employees ,487 Reviews
461,Government of India,4.2, Central ,Government , 73 years old , New Delhi +114 more, 1 Lakh+ Employees ,487 Reviews
462,Rico Auto Industries,3.9, Public ,Auto Components , 40 years old , Gurgaon/Gurugram +21 more, 1k-5k Employees ,487 Reviews
463,Sl Lumax,3.2, Public ,Auto Components , 26 years old , Sriperumbudur +13 more, 1k-5k Employees ,486 Reviews
464,Zydus Wellness,3.4, Public ,FMCG , 35 years old , Ahmedabad +70 more, 1k-5k Employees ,486 Reviews
465,Union Bank of India,3.9, Public ,Banking , 104 years old , Mumbai +94 more, 50k-1 Lakh Employees ,485 Reviews
466,Skipper,3.7, Public ,Power , 42 years old , Kolkata +46 more, 1k-5k Employees ,485 Reviews
467,Rane (Madras),4.1, Public ,Auto Components , 26 years old , Vallancherry +24 more, 201-500 Employees ,483 Reviews
468,Omaxe,3.9, Public ,Real Estate , 34 years old , Delhi/NCR +21 more, 201-500 Employees ,482 Reviews
469,VA Tech Wabag,3.9, Public ,Waste Management , 99 years old , Chennai +37 more, 501-1k Employees ,481 Reviews
470,Vakrangee,3.7, Public ,BPO , 33 years old , Mumbai +79 more, 1k-5k Employees ,478 Reviews
471,Sadbhav Engineering,4.3, Public ,Engineering & Construction , 35 years old , Ahmedabad +62 more, 1k-5k Employees ,477 Reviews
472,Times Internet,3.9, Public ,Internet , 24 years old , Gurgaon +23 more, 10k-50k Employees ,476 Reviews
473,Future Lifestyle Fashion,4.2, Public ,Retail , 11 years old , Mumbai +56 more, 5k-10k Employees ,476 Reviews
474,India Cements,3.8, Public ,Building Material , 77 years old , Chennai +70 more, 1k-5k Employees ,472 Reviews
475,Linde India,4.1, Public ,Oil & Gas , 144 years old , Pullach +41 more, 201-500 Employees ,471 Reviews
476,Somany Ceramics,4.2, Public ,Building Material , 55 years old , Noida +54 more, 1k-5k Employees ,470 Reviews
477,Merino Industries,3.8, Public ,Building Material , 55 years old , Delhi/NCR +46 more, 501-1k Employees ,470 Reviews
478,EPL Limited,3.9, Public ,Packaging , 39 years old , Mumbai +31 more, 1k-5k Employees ,469 Reviews
479,Adani Solar,4, Public ,Power , 8 years old , Ahmedabad +26 more, 1k-5k Employees ,467 Reviews
480,Csc E Governance Services,3.9, Public ,Government , 14 years old , Delhi +149 more, 201-500 Employees ,464 Reviews
481,Deepak Nitrite,3.9, Public ,Chemicals , 53 years old , Vadodara/Baroda +12 more, 1k-5k Employees ,464 Reviews
